anno,trimestre,id_empresa,empresa,id_municipio,municipio,id_departamento,departamento,id_segmento,segmento,velocidad_efectiva_downstream,velocidad_efectiva_upstream,id_tecnologia,tecnologia,accesos,entry_id
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81736,SARAVENA,81,ARAUCA,108,Sin estratificar,11,1,104,WiFi,1,1500001
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81736,SARAVENA,81,ARAUCA,108,Sin estratificar,15,15,104,WiFi,1,1500002
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81736,SARAVENA,81,ARAUCA,108,Sin estratificar,25,25,104,WiFi,1,1500003
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,15223,CUBARÁ,15,BOYACÁ,108,Sin estratificar,15,15,104,WiFi,1,1500004
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81736,SARAVENA,81,ARAUCA,108,Sin estratificar,5,1,104,WiFi,8,1500005
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,54820,TOLEDO,54,NORTE DE SANTANDER,108,Sin estratificar,5,1,104,WiFi,14,1500006
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81300,FORTUL,81,ARAUCA,108,Sin estratificar,11,1,104,WiFi,1,1500007
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81736,SARAVENA,81,ARAUCA,108,Sin estratificar,7,1,104,WiFi,2,1500008
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,15223,CUBARÁ,15,BOYACÁ,108,Sin estratificar,25,25,104,WiFi,1,1500009
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,81300,FORTUL,81,ARAUCA,108,Sin estratificar,25,25,104,WiFi,1,1500010
2022,1,900721017,WISPER INTERNET INALAMBRICO S.A.S,54820,TOLEDO,54,NORTE DE SANTANDER,108,Sin estratificar,1,1,104,WiFi,3,1500011
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,3,2,114,Otras tecnologías inalámbricas,20,1500012
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,"9,8","6,8",104,WiFi,7,1500013
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,30,30,114,Otras tecnologías inalámbricas,1,1500014
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,"1,5",1,104,WiFi,102,1500015
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,"5,8","3,8",104,WiFi,3,1500016
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,"2,8","1,8",104,WiFi,10,1500017
2022,1,900842604,SERVISKYNET TELECOMUNICACIONES S.A.S.,20228,CURUMANÍ,20,CESAR,102,Residencial - Estrato 2,"3,8","2,8",104,WiFi,16,1500018
2022,1,890207976,EME S.A.,8001,BARRANQUILLA,8,ATLÁNTICO,108,Sin estratificar,8,3,108,Fiber to the home (FTTH),505,1500019
2022,1,890207976,EME S.A.,8296,GALAPA,8,ATLÁNTICO,108,Sin estratificar,3,1,108,Fiber to the home (FTTH),999,1500020
2022,1,890207976,EME S.A.,8296,GALAPA,8,ATLÁNTICO,108,Sin estratificar,8,3,108,Fiber to the home (FTTH),16,1500021
2022,1,890207976,EME S.A.,8001,BARRANQUILLA,8,ATLÁNTICO,108,Sin estratificar,3,1,108,Fiber to the home (FTTH),6805,1500022
2022,1,890207976,EME S.A.,8001,BARRANQUILLA,8,ATLÁNTICO,107,Corporativo,30,10,108,Fiber to the home (FTTH),3,1500023
2022,1,890207976,EME S.A.,8001,BARRANQUILLA,8,ATLÁNTICO,108,Sin estratificar,50,10,108,Fiber to the home (FTTH),4,1500024
2022,1,890207976,EME S.A.,8758,SOLEDAD,8,ATLÁNTICO,108,Sin estratificar,20,10,108,Fiber to the home (FTTH),5,1500025
