anno,trimestre,id_empresa,empresa,ingresos,entry_id
2012,1,800135729,ERT SA ESP,1244080836,1
2012,1,800204278,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),14052264110,2
2012,1,800208518,EMPRESA DE TELEFONOS DE JAMUNDI S.A. E.S.P. - TELEJAMUNDI S.A. E.S.P.,"165585465,39",3
2012,1,800224288,UNITEL S.A ESP,"1489714939,7",4
2012,1,805030753,IPSOFACTUM S.A.S.,2234340,5
2012,1,808000875,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,"593199941,3",6
2012,1,815000070,TELEPALMIRA S.A. ESP,"2256053137,4",7
2012,1,815000973,BUGATEL S.A. ESP,"620063889,4",8
2012,1,816002018,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,11418788753,9
2012,1,817001193,CAUCATEL S.A E. S. P,"349258987,8",10
2012,1,819002701,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,"84761453,45",11
2012,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52198797278,12
2012,1,830140108,TELMEX TELECOMUNICACIONES S.A. ESP,81476953766,13
2012,1,836000099,EMPRESA DE TELEFONOS DE CARTAGO S.A.  E.S.P.   TELECARTAGO,"589187080,6",14
2012,1,844002048,EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.,"156046048,35",15
2012,1,890201210,EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P.,15147509536,16
2012,1,890399003,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,31625816575,17
2012,1,890905065,EDATEL S.A.,8643963514,18
2012,1,891502163,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,"854703824,3",19
2012,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,170955984204,20
2012,1,900092385,UNE EPM TELECOMUNICACIONES S.A.,139282364683,21
2012,1,900292948,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,"438370565,5",22
2012,2,800135729,ERT SA ESP,1179605015,23
2012,2,800204278,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),14328693336,24
2012,2,800208518,EMPRESA DE TELEFONOS DE JAMUNDI S.A. E.S.P. - TELEJAMUNDI S.A. E.S.P.,"160146798,21",25
2012,2,800224288,UNITEL S.A ESP,"1456077032,6",26
2012,2,805030753,IPSOFACTUM S.A.S.,2104043,27
2012,2,808000875,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,573081643,28
2012,2,815000070,TELEPALMIRA S.A. ESP,2096625211,29
2012,2,815000973,BUGATEL S.A. ESP,"620063889,4",30
2012,2,816002018,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,11220513694,31
2012,2,817001193,CAUCATEL S.A E. S. P,327222159,32
2012,2,819002701,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,"84213045,93",33
2012,2,830053800,TELMEX COLOMBIA S.A.,86202859942,34
2012,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52505115534,35
2012,2,836000099,EMPRESA DE TELEFONOS DE CARTAGO S.A.  E.S.P.   TELECARTAGO,"575595619,3",36
2012,2,844002048,EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.,16284407,37
2012,2,890201210,EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P.,14369838603,38
2012,2,890399003,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,30043787590,39
2012,2,890905065,EDATEL S.A.,8291290994,40
2012,2,891502163,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,"680555366,5",41
2012,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,171684630804,42
2012,2,900092385,UNE EPM TELECOMUNICACIONES S.A.,136585772533,43
2012,2,900292948,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,"436058013,5",44
2012,3,800135729,ERT SA ESP,1091785122,45
2012,3,800204278,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),13630002064,46
2012,3,800208518,EMPRESA DE TELEFONOS DE JAMUNDI S.A. E.S.P. - TELEJAMUNDI S.A. E.S.P.,"124282339,48",47
2012,3,800224288,UNITEL S.A ESP,"1397593185,3",48
2012,3,805030753,IPSOFACTUM S.A.S.,2005970,49
2012,3,808000875,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,"550139662,9",50
2012,3,815000070,TELEPALMIRA S.A. ESP,"1900410924,2",51
2012,3,815000973,BUGATEL S.A. ESP,"536842203,4",52
2012,3,816002018,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,10840341879,53
2012,3,817001193,CAUCATEL S.A E. S. P,"293296634,72",54
2012,3,819002701,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,"79640777,19",55
2012,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,54261876009,56
2012,3,830140108,TELMEX TELECOMUNICACIONES S.A. ESP,91669532120,57
2012,3,836000099,EMPRESA DE TELEFONOS DE CARTAGO S.A.  E.S.P.   TELECARTAGO,"538884607,9",58
2012,3,844002048,EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.,164815535,59
2012,3,890201210,EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P.,14094347991,60
2012,3,890399003,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,29778871525,61
2012,3,890905065,EDATEL S.A.,8316895754,62
2012,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,164454245548,63
2012,3,900092385,UNE EPM TELECOMUNICACIONES S.A.,135990579258,64
2012,3,900245890,GRUPO TELINTEL S. A. EMPRESA DE SERVICIOS PÚBLICOS - GRUPO TELINTEL S. A.  E. S. P.,"1714031,9",65
2012,3,900292948,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,"417159056,1",66
2012,4,800135729,ERT SA ESP,993669922,67
2012,4,800204278,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),14723748833,68
2012,4,800208518,EMPRESA DE TELEFONOS DE JAMUNDI S.A. E.S.P. - TELEJAMUNDI S.A. E.S.P.,"113880671,91",69
2012,4,800224288,UNITEL S.A ESP,1238744824,70
2012,4,805030753,IPSOFACTUM S.A.S.,1780216,71
2012,4,808000875,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,"526132440,9",72
2012,4,815000070,TELEPALMIRA S.A. ESP,1875190107,73
2012,4,815000973,BUGATEL S.A. ESP,"546015568,1",74
2012,4,816002018,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,10811076525,75
2012,4,817001193,CAUCATEL S.A E. S. P,"314605466,3",76
2012,4,819002701,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,"96629142,37",77
2012,4,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52151736470,78
2012,4,830140108,TELMEX TELECOMUNICACIONES S.A. ESP,96139732761,79
2012,4,836000099,EMPRESA DE TELEFONOS DE CARTAGO S.A.  E.S.P.   TELECARTAGO,"550222312,8",80
2012,4,844002048,EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.,135485000,81
2012,4,890201210,EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P.,13756788799,82
2012,4,890399003,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,27106705603,83
2012,4,890905065,EDATEL S.A.,9279085410,84
2012,4,891502163,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,"714678281,1",85
2012,4,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,157611741361,86
2012,4,900092385,UNE EPM TELECOMUNICACIONES S.A.,138735750529,87
2012,4,900245890,GRUPO TELINTEL S. A. EMPRESA DE SERVICIOS PÚBLICOS - GRUPO TELINTEL S. A.  E. S. P.,1072665,88
2012,4,900292948,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,"403615554,4",89
2013,1,800135729,ERT SA ESP,992261910,90
2013,1,800204278,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),6826838812,91
2013,1,800208518,EMPRESA DE TELEFONOS DE JAMUNDI S.A. E.S.P. - TELEJAMUNDI S.A. E.S.P.,"97889705,92",92
2013,1,800224288,UNITEL S.A ESP,"1092097381,9",93
2013,1,805030753,IPSOFACTUM S.A.S.,1776325,94
2013,1,808000875,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,"459427889,8",95
2013,1,815000070,TELEPALMIRA S.A. ESP,"1781484498,2",96
