,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2017/02,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,AXESAT S.A.,SKYNET DE COLOMBIA S.A.S. E.S.P,0.8080568720379147,0.12796208530805686,0.052132701421800945,0.011848341232227555,422
0,2017/02,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,EDATEL S.A.,0.6228741995370862,0.23149974023942663,0.12263026666890117,0.02299579355458592,1074066
0,2017/02,ARAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,AZTECA COMUNICACIONES COLOMBIA S.A.S,0.653862800259684,0.15245617831638172,0.13990478251460722,0.053776238909327034,9242
0,2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,SOL CABLE VISION S. A. S. - E. S. P.,AZTECA COMUNICACIONES COLOMBIA S.A.S,0.3746751712733286,0.3137254901960784,0.2867942357665958,0.024805102763997167,4233
0,2017/02,ATLÁNTICO,METROTEL S.A,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.382791889292075,0.2672584296059253,0.19902790873390033,0.15092177236809945,314991
0,2017/02,BOGOTÁ D.C.,TELMEX COLOMBIA S.A.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,UNE EPM TELECOMUNICACIONES S.A.,0.4916519347868788,0.33235965035212994,0.07969848471289578,0.0962899301480955,1776759
0,2017/02,BOLÍVAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,UNE EPM TELECOMUNICACIONES S.A.,AZTECA COMUNICACIONES COLOMBIA S.A.S,0.3850607593198618,0.30083300913106165,0.1295912762889901,0.18451495526008643,174788
0,2017/02,BOYACÁ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX COLOMBIA S.A.,AZTECA COMUNICACIONES COLOMBIA S.A.S,0.36631229106740265,0.3448456814118013,0.18072183782943327,0.10812018969136283,102904
0,2017/02,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,AZTECA COMUNICACIONES COLOMBIA S.A.S,0.47606114954308654,0.3111196515500897,0.09513194978221881,0.11768724912460493,117090
0,2017/02,CAQUETA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,K9 TELECOMUNICACIONES S.A.S.,0.6326309570697125,0.10963962189838519,0.09600236313509256,0.16172705789680974,20312
0,2017/02,CASANARE,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,AZTECA COMUNICACIONES COLOMBIA S.A.S,0.46268610325428156,0.21375066049171665,0.15491250427376993,0.16865073198023184,32173
0,2017/02,CAUCA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,0.5932224682401345,0.17286160707275325,0.09976288060803065,0.13415304407908168,63681
0,2017/02,CESAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX COLOMBIA S.A.,EDATEL S.A.,0.31760523657733525,0.31393228654257344,0.16714546193905527,0.20131701494103593,76233
0,2017/02,CHOCÓ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,0.728441960167146,0.16464969881152655,0.05904379443208336,0.047864546589243995,18427
0,2017/02,COLOMBIA,INTEGRA MULTISOLUTIONS S.A.S.,No hay,No hay,1.0,0.0,0.0,0.0,52
0,2017/02,CUNDINAMARCA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,0.5235719258199159,0.20500509412935206,0.0976250302510614,0.17379794979967067,334699
0,2017/02,CÓRDOBA,EDATEL S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX COLOMBIA S.A.,0.36004192970884763,0.2779138792047489,0.14039385659097334,0.22165033449543003,84904
