datetime,departamento,accesos
2017/02,AMAZONAS,422
2017/02,ANTIOQUIA,1074066
2017/02,ARAUCA,9242
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4233
2017/02,ATLÁNTICO,314991
2017/02,BOGOTÁ D.C.,1776759
2017/02,BOLÍVAR,174788
2017/02,BOYACÁ,102904
2017/02,CALDAS,117090
2017/02,CAQUETA,20312
2017/02,CASANARE,32173
2017/02,CAUCA,63681
2017/02,CESAR,76233
2017/02,CHOCÓ,18427
2017/02,COLOMBIA,52
2017/02,CUNDINAMARCA,334699
2017/02,CÓRDOBA,84904
2017/02,GUAINÍA,49
2017/02,GUAVIARE,1357
2017/02,HUILA,94906
2017/02,LA GUAJIRA,33598
2017/02,MAGDALENA,87350
2017/02,META,106521
2017/02,NARIÑO,86466
2017/02,NORTE DE SANTANDER,126136
2017/02,PUTUMAYO,10897
2017/02,QUINDÍO,87383
2017/02,RISARALDA,145637
2017/02,SANTANDER,326858
2017/02,SUCRE,46906
2017/02,TOLIMA,147894
2017/02,VALLE DEL CAUCA,685493
2017/02,VAUPÉS,64
2017/02,VICHADA,1011
2017/03,AMAZONAS,423
2017/03,ANTIOQUIA,1090819
2017/03,ARAUCA,9580
2017/03,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4249
2017/03,ATLÁNTICO,322437
2017/03,BOGOTÁ D.C.,1807827
2017/03,BOLÍVAR,174669
2017/03,BOYACÁ,103228
2017/03,CALDAS,118765
2017/03,CAQUETA,22299
2017/03,CASANARE,32855
2017/03,CAUCA,65006
2017/03,CESAR,77755
2017/03,CHOCÓ,18912
2017/03,COLOMBIA,90
2017/03,CUNDINAMARCA,338335
2017/03,CÓRDOBA,81706
2017/03,GUAINÍA,70
2017/03,GUAVIARE,1673
2017/03,HUILA,95006
2017/03,LA GUAJIRA,34899
2017/03,MAGDALENA,90506
2017/03,META,109226
2017/03,NARIÑO,90246
2017/03,NORTE DE SANTANDER,128865
2017/03,PUTUMAYO,11435
2017/03,QUINDÍO,89604
2017/03,RISARALDA,146913
2017/03,SANTANDER,331507
2017/03,SUCRE,45844
2017/03,TOLIMA,140366
2017/03,VALLE DEL CAUCA,698081
2017/03,VAUPÉS,63
2017/03,VICHADA,1016
2017/04,AMAZONAS,408
2017/04,ANTIOQUIA,1098843
2017/04,ARAUCA,10647
2017/04,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4203
2017/04,ATLÁNTICO,328389
2017/04,BOGOTÁ D.C.,1818094
2017/04,BOLÍVAR,177184
2017/04,BOYACÁ,105391
2017/04,CALDAS,119291
2017/04,CAQUETA,19463
2017/04,CASANARE,33843
2017/04,CAUCA,65547
2017/04,CESAR,79562
2017/04,CHOCÓ,20514
2017/04,CUNDINAMARCA,342365
2017/04,CÓRDOBA,86146
2017/04,GUAINÍA,373
2017/04,GUAVIARE,1742
2017/04,HUILA,95703
2017/04,LA GUAJIRA,34906
2017/04,MAGDALENA,89125
2017/04,META,112265
2017/04,NARIÑO,92327
2017/04,NORTE DE SANTANDER,129802
2017/04,PUTUMAYO,12200
2017/04,QUINDÍO,90741
2017/04,RISARALDA,149943
2017/04,SANTANDER,329803
2017/04,SUCRE,47468
2017/04,TOLIMA,147084
2017/04,VALLE DEL CAUCA,707051
2017/04,VAUPÉS,65
2017/04,VICHADA,2217
2018/01,AMAZONAS,391
2018/01,ANTIOQUIA,1113650
2018/01,ARAUCA,11105
2018/01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4197
2018/01,ATLÁNTICO,335464
2018/01,BOGOTÁ D.C.,1826350
2018/01,BOLÍVAR,180168
2018/01,BOYACÁ,108764
2018/01,CALDAS,120931
2018/01,CAQUETA,19190
2018/01,CASANARE,34136
2018/01,CAUCA,69939
2018/01,CESAR,82677
2018/01,CHOCÓ,21013
2018/01,CUNDINAMARCA,369021
2018/01,CÓRDOBA,88980
2018/01,GUAINÍA,531
2018/01,GUAVIARE,2020
2018/01,HUILA,98100
2018/01,LA GUAJIRA,36625
2018/01,MAGDALENA,90043
2018/01,META,114467
2018/01,NARIÑO,93702
2018/01,NORTE DE SANTANDER,134169
2018/01,PUTUMAYO,12772
2018/01,QUINDÍO,92188
2018/01,RISARALDA,162303
2018/01,SANTANDER,334159
2018/01,SUCRE,48660
2018/01,TOLIMA,152223
2018/01,VALLE DEL CAUCA,719755
2018/01,VAUPÉS,68
2018/01,VICHADA,1520
2018/02,AMAZONAS,567
2018/02,ANTIOQUIA,1127759
2018/02,ARAUCA,11263
2018/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4215
2018/02,ATLÁNTICO,338205
2018/02,BOGOTÁ D.C.,1857309
2018/02,BOLÍVAR,183550
2018/02,BOYACÁ,111668
2018/02,CALDAS,122103
2018/02,CAQUETA,20378
2018/02,CASANARE,34762
2018/02,CAUCA,70370
2018/02,CESAR,84115
2018/02,CHOCÓ,21302
2018/02,CUNDINAMARCA,384610
2018/02,CÓRDOBA,92055
2018/02,GUAINÍA,496
2018/02,GUAVIARE,2213
2018/02,HUILA,100484
2018/02,LA GUAJIRA,37196
2018/02,MAGDALENA,92880
2018/02,META,116841
2018/02,NARIÑO,96604
2018/02,NORTE DE SANTANDER,137851
2018/02,PUTUMAYO,13534
2018/02,QUINDÍO,93886
2018/02,RISARALDA,165341
2018/02,SANTANDER,318321
2018/02,SUCRE,51699
2018/02,TOLIMA,153989
2018/02,VALLE DEL CAUCA,731687
2018/02,VAUPÉS,62
2018/02,VICHADA,1017
2018/03,AMAZONAS,640
2018/03,ANTIOQUIA,1149039
2018/03,ARAUCA,11260
2018/03,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4201
2018/03,ATLÁNTICO,343197
2018/03,BOGOTÁ D.C.,1875396
2018/03,BOLÍVAR,183812
2018/03,BOYACÁ,114666
2018/03,CALDAS,121484
2018/03,CAQUETA,21443
2018/03,CASANARE,34124
2018/03,CAUCA,75890
2018/03,CESAR,87011
2018/03,CHOCÓ,22087
2018/03,CUNDINAMARCA,381712
2018/03,CÓRDOBA,95299
2018/03,GUAINÍA,582
2018/03,GUAVIARE,2397
2018/03,HUILA,102572
2018/03,LA GUAJIRA,38619
2018/03,MAGDALENA,91388
2018/03,META,118352
2018/03,NARIÑO,97635
2018/03,NORTE DE SANTANDER,142502
2018/03,PUTUMAYO,14645
2018/03,QUINDÍO,94477
2018/03,RISARALDA,167548
2018/03,SANTANDER,321125
2018/03,SUCRE,51675
2018/03,TOLIMA,152342
2018/03,VALLE DEL CAUCA,741593
2018/03,VAUPÉS,60
2018/03,VICHADA,903
2018/04,AMAZONAS,930
2018/04,ANTIOQUIA,1164120
2018/04,ARAUCA,11272
2018/04,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4121
2018/04,ATLÁNTICO,346822
2018/04,BOGOTÁ D.C.,1876271
2018/04,BOLÍVAR,186967
2018/04,BOYACÁ,116210
2018/04,CALDAS,123072
2018/04,CAQUETA,22595
2018/04,CASANARE,33711
2018/04,CAUCA,75879
2018/04,CESAR,88889
2018/04,CHOCÓ,21285
2018/04,CUNDINAMARCA,391605
2018/04,CÓRDOBA,99242
2018/04,GUAINÍA,860
2018/04,GUAVIARE,2437
2018/04,HUILA,105349
2018/04,LA GUAJIRA,43424
2018/04,MAGDALENA,89496
2018/04,META,119423
2018/04,NARIÑO,99030
2018/04,NORTE DE SANTANDER,143285
2018/04,PUTUMAYO,15553
2018/04,QUINDÍO,97766
2018/04,RISARALDA,168549
2018/04,SANTANDER,324351
2018/04,SUCRE,53645
2018/04,TOLIMA,153980
2018/04,VALLE DEL CAUCA,749987
2018/04,VAUPÉS,63
2018/04,VICHADA,936
2019/01,AMAZONAS,1298
2019/01,ANTIOQUIA,1187713
2019/01,ARAUCA,12948
2019/01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4177
2019/01,ATLÁNTICO,329666
2019/01,BOGOTÁ D.C.,1874506
2019/01,BOLÍVAR,191419
2019/01,BOYACÁ,120297
2019/01,CALDAS,125136
2019/01,CAQUETA,22874
2019/01,CASANARE,35957
2019/01,CAUCA,75130
2019/01,CESAR,91285
2019/01,CHOCÓ,23996
2019/01,CUNDINAMARCA,399577
2019/01,CÓRDOBA,102170
2019/01,GUAINÍA,1632
2019/01,GUAVIARE,2525
2019/01,HUILA,106040
2019/01,LA GUAJIRA,40534
2019/01,MAGDALENA,95552
2019/01,META,123672
2019/01,NARIÑO,100063
2019/01,NORTE DE SANTANDER,143100
2019/01,PUTUMAYO,11036
2019/01,QUINDÍO,99031
2019/01,RISARALDA,173184
2019/01,SANTANDER,329265
2019/01,SUCRE,53428
2019/01,TOLIMA,157890
2019/01,VALLE DEL CAUCA,763692
2019/01,VAUPÉS,63
2019/01,VICHADA,1322
2019/02,AMAZONAS,1243
2019/02,ANTIOQUIA,1198328
2019/02,ARAUCA,14612
2019/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4263
2019/02,ATLÁNTICO,343938
2019/02,BOGOTÁ D.C.,1890765
2019/02,BOLÍVAR,194076
2019/02,BOYACÁ,121760
2019/02,CALDAS,127633
2019/02,CAQUETA,22304
2019/02,CASANARE,35451
2019/02,CAUCA,80819
2019/02,CESAR,99853
2019/02,CHOCÓ,23377
2019/02,CUNDINAMARCA,412878
2019/02,CÓRDOBA,102798
2019/02,GUAINÍA,1204
2019/02,GUAVIARE,2572
2019/02,HUILA,108859
2019/02,LA GUAJIRA,42768
2019/02,MAGDALENA,96497
2019/02,META,126411
2019/02,NARIÑO,102897
2019/02,NORTE DE SANTANDER,149575
2019/02,PUTUMAYO,17081
2019/02,QUINDÍO,99862
2019/02,RISARALDA,175933
2019/02,SANTANDER,330025
2019/02,SUCRE,53258
2019/02,TOLIMA,158875
2019/02,VALLE DEL CAUCA,768930
2019/02,VAUPÉS,47
2019/02,VICHADA,1291
2019/03,AMAZONAS,1332
2019/03,ANTIOQUIA,1211906
2019/03,ARAUCA,15126
2019/03,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4049
2019/03,ATLÁNTICO,351804
2019/03,BOGOTÁ D.C.,1915409
2019/03,BOLÍVAR,198475
2019/03,BOYACÁ,124919
2019/03,CALDAS,127296
2019/03,CAQUETA,26741
2019/03,CASANARE,36832
