datetime,departamento,empresa,accesos
2017/02,AMAZONAS,AXESAT S.A.,54
2017/02,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,341
2017/02,AMAZONAS,IFX NETWORKS COLOMBIA S.A.S.,4
2017/02,AMAZONAS,SKYNET DE COLOMBIA S.A.S. E.S.P,22
2017/02,AMAZONAS,TELECOMMUNICATIONS ADVANCE GROUP S.A.S.,1
2017/02,ANTIOQUIA,AXESAT S.A.,237
2017/02,ANTIOQUIA,AZTECA COMUNICACIONES COLOMBIA S.A.S,26
2017/02,ANTIOQUIA,CABLE Y TELECOMUNICACIONES DE COLOMBIA S.A.S. CABLETELCO,1148
2017/02,ANTIOQUIA,CENTURYLINK COLOMBIA S.A.,152
2017/02,ANTIOQUIA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,693
2017/02,ANTIOQUIA,COLUMBUS NETWORKS DE COLOMBIA LTDA,123
2017/02,ANTIOQUIA,CONSULTORES EN TECNOLOGIAS DE LA INFORMACION SAS,9
2017/02,ANTIOQUIA,DIRECTV COLOMBIA LTDA,7552
2017/02,ANTIOQUIA,EDATEL S.A.,131713
2017/02,ANTIOQUIA,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,86
2017/02,ANTIOQUIA,GTD COLOMBIA S.A.S.,90
2017/02,ANTIOQUIA,H V TELEVISION S.A.S.,7611
2017/02,ANTIOQUIA,IFX NETWORKS COLOMBIA S.A.S.,72
2017/02,ANTIOQUIA,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,59
2017/02,ANTIOQUIA,INTERNEXA S.A E.S.P.,1
2017/02,ANTIOQUIA,IP TECHNOLOGIES SAS,3
2017/02,ANTIOQUIA,ITELKOM S.A.S.,6
2017/02,ANTIOQUIA,LECARVIN SAS,2236
2017/02,ANTIOQUIA,MEDIA COMMERCE PARTNERS S.A.,171
2017/02,ANTIOQUIA,MERCANET SAS,2
2017/02,ANTIOQUIA,NETBEAM S.A.S.,2
2017/02,ANTIOQUIA,SENCINET LATAM COLOMBIA S.A,151
2017/02,ANTIOQUIA,SISTELEC LTDA,3
2017/02,ANTIOQUIA,SKYNET DE COLOMBIA S.A.S. E.S.P,12
2017/02,ANTIOQUIA,TELMEX COLOMBIA S.A.,248646
2017/02,ANTIOQUIA,TV AZTECA SUCURSAL COLOMBIA,320
2017/02,ANTIOQUIA,TV CABLE SAN GIL S.A.S.,3930
2017/02,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,669008
2017/02,ANTIOQUIA,UNICOM S.A.S.,4
2017/02,ARAUCA,AXESAT S.A.,27
2017/02,ARAUCA,AZTECA COMUNICACIONES COLOMBIA S.A.S,1293
2017/02,ARAUCA,CENTURYLINK COLOMBIA S.A.,3
2017/02,ARAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,6043
2017/02,ARAUCA,CONSULNETWORKS S.A. E.S.P.,1
2017/02,ARAUCA,DIRECTV COLOMBIA LTDA,1409
2017/02,ARAUCA,IFX NETWORKS COLOMBIA S.A.S.,1
2017/02,ARAUCA,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,170
2017/02,ARAUCA,INTERNEXA S.A E.S.P.,2
2017/02,ARAUCA,INTERPLUS TELECOMUNICACIONES SAS,195
2017/02,ARAUCA,IP TECHNOLOGIES SAS,5
2017/02,ARAUCA,LEGON TELECOMUNICACIONES S.A.S.,4
2017/02,ARAUCA,MEDIA COMMERCE PARTNERS S.A.,4
2017/02,ARAUCA,SISTELEC LTDA,2
2017/02,ARAUCA,SKYNET DE COLOMBIA S.A.S. E.S.P,7
2017/02,ARAUCA,TV AZTECA SUCURSAL COLOMBIA,76
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",AXESAT S.A.,28
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",AZTECA COMUNICACIONES COLOMBIA S.A.S,1214
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1586
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,1
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",GILAT COLOMBIA S. A. - E. S. P.,12
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",IFX NETWORKS COLOMBIA S.A.S.,2
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SKYNET DE COLOMBIA S.A.S. E.S.P,5
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SOL CABLE VISION S. A. S. - E. S. P.,1328
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",TV ISLA LTDA,38
2017/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",UNE EPM TELECOMUNICACIONES S.A.,19
2017/02,ATLÁNTICO,AXESAT S.A.,42
2017/02,ATLÁNTICO,AZTECA COMUNICACIONES COLOMBIA S.A.S,22
2017/02,ATLÁNTICO,CENTURYLINK COLOMBIA S.A.,21
2017/02,ATLÁNTICO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,62692
2017/02,ATLÁNTICO,CONSULNETWORKS S.A. E.S.P.,15
2017/02,ATLÁNTICO,CONSULTORES EN TECNOLOGIAS DE LA INFORMACION SAS,1
2017/02,ATLÁNTICO,DIALNET DE COLOMBIA S.A   ESP.,105
2017/02,ATLÁNTICO,DIRECTV COLOMBIA LTDA,16022
2017/02,ATLÁNTICO,DISCOM SAS,1
2017/02,ATLÁNTICO,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,82
2017/02,ATLÁNTICO,GLOBENET CABOS SUBMARINOS COLOMBIA S.A.S.,4
2017/02,ATLÁNTICO,GTD COLOMBIA S.A.S.,29
2017/02,ATLÁNTICO,IFX NETWORKS COLOMBIA S.A.S.,116
