datetime,id_departamento,departamento,id_municipio,municipio,accesos
2017/02,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1776759
2017/02,5,ANTIOQUIA,5001,MEDELLÍN,556657
2017/02,76,VALLE DEL CAUCA,76001,CALI,446689
2017/02,8,ATLÁNTICO,8001,BARRANQUILLA,213641
2017/02,68,SANTANDER,68001,BUCARAMANGA,143867
2017/02,13,BOLÍVAR,13001,CARTAGENA,140161
2017/02,73,TOLIMA,73001,IBAGUÉ,104724
2017/02,5,ANTIOQUIA,5088,BELLO,94048
2017/02,25,CUNDINAMARCA,25754,SOACHA,92054
2017/02,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,89204
2017/02,66,RISARALDA,66001,PEREIRA,81605
2017/02,50,META,50001,VILLAVICENCIO,81270
2017/02,17,CALDAS,17001,MANIZALES,80897
2017/02,47,MAGDALENA,47001,SANTA MARTA,72575
2017/02,8,ATLÁNTICO,8758,SOLEDAD,71460
2017/02,41,HUILA,41001,NEIVA,69319
2017/02,52,NARIÑO,52001,PASTO,68910
2017/02,68,SANTANDER,68276,FLORIDABLANCA,66949
2017/02,5,ANTIOQUIA,5266,ENVIGADO,65421
2017/02,63,QUINDÍO,63001,ARMENIA,65234
2017/02,5,ANTIOQUIA,5360,ITAGUI,62195
2017/02,20,CESAR,20001,VALLEDUPAR,58565
2017/02,76,VALLE DEL CAUCA,76520,PALMIRA,55294
2017/02,19,CAUCA,19001,POPAYÁN,48529
2017/02,23,CÓRDOBA,23001,MONTERÍA,46532
2017/02,66,RISARALDA,66170,DOSQUEBRADAS,46140
2017/02,15,BOYACÁ,15001,TUNJA,34735
2017/02,70,SUCRE,70001,SINCELEJO,33154
2017/02,76,VALLE DEL CAUCA,76834,TULUÁ,32336
2017/02,25,CUNDINAMARCA,25175,CHÍA,31632
2017/02,68,SANTANDER,68081,BARRANCABERMEJA,31379
2017/02,5,ANTIOQUIA,5615,RIONEGRO,28858
2017/02,5,ANTIOQUIA,5631,SABANETA,27184
2017/02,68,SANTANDER,68307,GIRÓN,26274
2017/02,68,SANTANDER,68547,PIEDECUESTA,26127
2017/02,25,CUNDINAMARCA,25473,MOSQUERA,24552
2017/02,25,CUNDINAMARCA,25290,FUSAGASUGÁ,24043
2017/02,76,VALLE DEL CAUCA,76364,JAMUNDÍ,23089
2017/02,85,CASANARE,85001,YOPAL,21386
2017/02,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,20788
2017/02,76,VALLE DEL CAUCA,76109,BUENAVENTURA,20110
2017/02,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,20106
2017/02,15,BOYACÁ,15238,DUITAMA,19152
2017/02,18,CAQUETA,18001,FLORENCIA,18833
2017/02,15,BOYACÁ,15759,SOGAMOSO,18527
2017/02,76,VALLE DEL CAUCA,76147,CARTAGO,18146
2017/02,25,CUNDINAMARCA,25286,FUNZA,18045
2017/02,25,CUNDINAMARCA,25307,GIRARDOT,17234
2017/02,44,LA GUAJIRA,44001,RIOHACHA,16594
2017/02,5,ANTIOQUIA,5045,APARTADÓ,16434
2017/02,5,ANTIOQUIA,5212,COPACABANA,16391
2017/02,5,ANTIOQUIA,5129,CALDAS,16130
2017/02,25,CUNDINAMARCA,25269,FACATATIVÁ,15892
2017/02,25,CUNDINAMARCA,25430,MADRID,15810
2017/02,25,CUNDINAMARCA,25126,CAJICÁ,15742
2017/02,76,VALLE DEL CAUCA,76892,YUMBO,15363
2017/02,27,CHOCÓ,27001,QUIBDÓ,14314
2017/02,5,ANTIOQUIA,5380,LA ESTRELLA,14222
2017/02,41,HUILA,41551,PITALITO,12031
2017/02,8,ATLÁNTICO,8433,MALAMBO,11399
2017/02,5,ANTIOQUIA,5376,LA CEJA,10892
2017/02,66,RISARALDA,66682,SANTA ROSA DE CABAL,10592
2017/02,54,NORTE DE SANTANDER,54405,LOS PATIOS,10363
2017/02,68,SANTANDER,68679,SAN GIL,10155
2017/02,5,ANTIOQUIA,5837,TURBO,9827
2017/02,17,CALDAS,17873,VILLAMARÍA,9544
2017/02,73,TOLIMA,73268,ESPINAL,8885
2017/02,5,ANTIOQUIA,5154,CAUCASIA,8800
2017/02,54,NORTE DE SANTANDER,54498,OCAÑA,8783
2017/02,50,META,50006,ACACÍAS,8414
2017/02,20,CESAR,20011,AGUACHICA,8311
2017/02,44,LA GUAJIRA,44430,MAICAO,8277
2017/02,63,QUINDÍO,63130,CALARCA,8075
2017/02,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,7878
2017/02,17,CALDAS,17380,LA DORADA,7783
2017/02,13,BOLÍVAR,13430,MAGANGUÉ,7685
2017/02,76,VALLE DEL CAUCA,76130,CANDELARIA,7647
2017/02,13,BOLÍVAR,13836,TURBACO,7455
2017/02,19,CAUCA,19698,SANTANDER DE QUILICHAO,7211
2017/02,5,ANTIOQUIA,5440,MARINILLA,7072
2017/02,5,ANTIOQUIA,5308,GIRARDOTA,6921
2017/02,25,CUNDINAMARCA,25214,COTA,6764
2017/02,5,ANTIOQUIA,5318,GUARNE,6582
2017/02,15,BOYACÁ,15572,PUERTO BOYACÁ,6261
2017/02,17,CALDAS,17174,CHINCHINÁ,5940
2017/02,54,NORTE DE SANTANDER,54518,PAMPLONA,5696
2017/02,25,CUNDINAMARCA,25377,LA CALERA,5590
2017/02,23,CÓRDOBA,23660,SAHAGÚN,5467
2017/02,81,ARAUCA,81001,ARAUCA,5438
2017/02,23,CÓRDOBA,23162,CERETÉ,5383
2017/02,5,ANTIOQUIA,5172,CHIGORODÓ,5268
2017/02,5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,5192
2017/02,47,MAGDALENA,47189,CIÉNAGA,5169
2017/02,50,META,50313,GRANADA,5167
2017/02,52,NARIÑO,52356,IPIALES,5072
2017/02,8,ATLÁNTICO,8573,PUERTO COLOMBIA,5042
2017/02,70,SUCRE,70215,COROZAL,5017
2017/02,23,CÓRDOBA,23417,LORICA,5001
2017/02,5,ANTIOQUIA,5607,RETIRO,4807
