municipio_id,departamento,municipio,2017/02,2017/03,2017/04,2018/01,2018/02,2018/03,2018/04,2019/01,2019/02,2019/03,2019/04,2020/01,2020/02,2020/03,2020/04,2021/01,2021/02,2021/03,2021/04,2022/01,2022/04,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04,2025/01,2025/02,2025/03,2025/04,2026/01,2026/02,2026/03,2026/04,2027/01,2027/02,2027/03,2027/04,r2
5001,ANTIOQUIA,MEDELLÍN,65.67,66.7,67.19,65.62,66.08,67.01,67.72,65.88,66.47,67.09,67.85,66.7,69.17,69.58,70.52,69.66,69.78,70.66,71.67,70.49,70.59,69.08,69.88,70.69,71.49,69.88,70.66,71.44,72.22,70.54,71.3,72.05,72.8,71.2,71.93,72.66,73.39,71.87,72.58,73.28,73.99,0.9813853724777836
5002,ANTIOQUIA,ABEJORRAL,10.08,10.37,10.32,10.52,10.93,11.17,11.08,11.31,11.52,11.63,11.33,11.19,100.0,100.0,100.0,21.36,23.28,22.83,22.54,23.72,90.06,91.83,96.03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1219972255285885
5004,ANTIOQUIA,ABRIAQUÍ,5.7,5.7,5.45,5.9,6.06,5.9,5.74,6.53,6.53,6.77,6.61,7.54,9.74,10.6,10.53,9.59,9.74,9.67,11.71,11.57,11.19,11.12,11.48,11.83,12.19,12.25,12.59,12.94,13.28,13.28,13.61,13.95,14.29,14.22,14.55,14.88,15.21,15.17,15.49,15.81,16.13,0.8749687011927563
5021,ANTIOQUIA,ALEJANDRÍA,12.36,12.36,12.19,11.98,12.22,12.78,12.58,12.24,12.51,12.66,11.74,10.9,10.41,10.07,8.48,6.88,14.68,16.15,12.33,23.97,14.94,14.86,15.14,15.42,15.69,15.69,15.96,16.23,16.51,16.28,16.55,16.81,17.07,16.92,17.18,17.44,17.69,17.46,17.71,17.96,18.21,0.25147395582477805
5030,ANTIOQUIA,AMAGÁ,22.64,21.58,22.86,22.51,23.28,23.74,24.95,25.2,25.69,26.18,25.75,24.41,23.95,24.59,23.6,26.14,29.26,28.82,28.89,27.38,27.97,27.5,27.93,28.36,28.79,28.43,28.84,29.26,29.68,29.32,29.73,30.14,30.55,30.17,30.57,30.96,31.36,30.94,31.33,31.72,32.11,0.8161694557842688
5031,ANTIOQUIA,AMALFI,18.4,18.9,18.47,17.25,17.18,16.89,15.15,14.22,19.01,14.4,13.36,13.19,12.14,11.94,11.11,12.16,14.65,11.84,13.2,12.22,11.14,10.56,10.35,10.14,9.93,9.45,9.25,9.05,8.85,8.4,8.21,8.01,7.82,7.41,7.22,7.03,6.84,6.47,6.29,6.1,5.92,0.4710457539528905
5034,ANTIOQUIA,ANDES,18.66,17.84,18.79,18.55,19.11,19.72,20.2,20.68,20.93,21.06,20.56,19.75,20.85,20.36,20.79,20.49,23.75,24.1,24.64,24.4,23.78,23.39,23.78,24.18,24.57,24.27,24.66,25.04,25.42,25.13,25.5,25.88,26.25,25.92,26.29,26.65,27.01,26.67,27.02,27.38,27.73,0.8776043060954073
5036,ANTIOQUIA,ANGELÓPOLIS,8.07,8.44,8.48,7.98,8.28,8.28,8.64,9.34,9.49,9.85,10.0,10.22,10.99,10.96,11.18,10.88,16.07,15.51,15.7,19.04,16.45,16.78,17.3,17.83,18.35,18.41,18.92,19.43,19.95,19.91,20.41,20.91,21.4,21.34,21.83,22.32,22.8,22.73,23.2,23.68,24.15,0.8551356452308635
5038,ANTIOQUIA,ANGOSTURA,6.81,7.11,7.19,7.61,7.89,8.05,7.91,8.21,8.35,8.72,8.74,9.25,9.36,10.05,10.43,10.92,11.1,11.28,11.63,11.11,11.37,11.24,11.51,11.78,12.04,12.02,12.28,12.54,12.8,12.76,13.01,13.26,13.52,13.45,13.7,13.95,14.2,14.11,14.35,14.59,14.84,0.9664825961807609
5040,ANTIOQUIA,ANORÍ,10.9,11.22,11.1,10.47,10.61,12.67,13.2,14.64,14.82,14.74,14.65,14.96,15.7,16.05,15.83,14.02,13.29,12.84,16.46,15.67,16.27,16.06,16.4,16.74,17.08,16.94,17.27,17.6,17.93,17.8,18.13,18.45,18.77,18.6,18.92,19.23,19.54,19.34,19.65,19.96,20.26,0.745237349426064
