datetime,departamento,suscriptores
2010/01,ANTIOQUIA,38901
2010/01,ARAUCA,3391
2010/01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3252
2010/01,ATLÁNTICO,7429
2010/01,BOLÍVAR,3056
2010/01,CALDAS,4252
2010/01,CAQUETA,1420
2010/01,CAUCA,8969
2010/01,CHOCÓ,892
2010/01,CUNDINAMARCA,18928
2010/01,CÓRDOBA,1400
2010/01,HUILA,4681
2010/01,LA GUAJIRA,1290
2010/01,NORTE DE SANTANDER,10132
2010/01,RISARALDA,1403
2010/01,SANTANDER,1553
2010/01,TOLIMA,1476
2010/01,VALLE DEL CAUCA,20495
2010/02,ANTIOQUIA,38508
2010/02,ARAUCA,3393
2010/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3295
2010/02,ATLÁNTICO,7430
2010/02,BOLÍVAR,3021
2010/02,CALDAS,4404
2010/02,CAQUETA,1420
2010/02,CAUCA,9073
2010/02,CHOCÓ,781
2010/02,CUNDINAMARCA,18748
2010/02,CÓRDOBA,1365
2010/02,HUILA,4726
2010/02,LA GUAJIRA,1301
2010/02,NORTE DE SANTANDER,10157
2010/02,RISARALDA,1496
2010/02,SANTANDER,1531
2010/02,TOLIMA,5587
2010/02,VALLE DEL CAUCA,20049
2010/03,ANTIOQUIA,38194
2010/03,ARAUCA,2587
2010/03,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3528
2010/03,ATLÁNTICO,7436
2010/03,BOLÍVAR,3001
2010/03,CALDAS,4382
2010/03,CAQUETA,1394
2010/03,CAUCA,9087
2010/03,CUNDINAMARCA,18653
2010/03,CÓRDOBA,1362
2010/03,HUILA,4846
2010/03,LA GUAJIRA,1232
2010/03,NORTE DE SANTANDER,8123
2010/03,RISARALDA,1463
2010/03,SANTANDER,1633
2010/03,TOLIMA,5608
2010/03,VALLE DEL CAUCA,20442
2010/04,ANTIOQUIA,37961
2010/04,ARAUCA,3436
2010/04,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3495
2010/04,ATLÁNTICO,7432
2010/04,BOLÍVAR,2951
2010/04,CALDAS,4421
2010/04,CAQUETA,1383
2010/04,CAUCA,8964
2010/04,CUNDINAMARCA,18597
2010/04,CÓRDOBA,1338
2010/04,HUILA,4769
2010/04,LA GUAJIRA,1234
2010/04,NORTE DE SANTANDER,9359
2010/04,RISARALDA,1212
2010/04,SANTANDER,1473
2010/04,TOLIMA,4841
2010/04,VALLE DEL CAUCA,20040
2010/05,ANTIOQUIA,35256
2010/05,ARAUCA,3440
2010/05,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3458
2010/05,ATLÁNTICO,7437
2010/05,BOLÍVAR,2927
2010/05,CALDAS,4294
2010/05,CAQUETA,1370
2010/05,CAUCA,8995
2010/05,CUNDINAMARCA,18705
2010/05,CÓRDOBA,1303
2010/05,HUILA,4705
2010/05,LA GUAJIRA,1238
2010/05,NORTE DE SANTANDER,10118
2010/05,RISARALDA,1531
2010/05,SANTANDER,1433
2010/05,TOLIMA,4785
2010/05,VALLE DEL CAUCA,20119
2010/06,ANTIOQUIA,35110
2010/06,ARAUCA,3403
2010/06,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3430
2010/06,ATLÁNTICO,7453
2010/06,BOLÍVAR,2914
2010/06,CALDAS,4462
2010/06,CAQUETA,1355
2010/06,CAUCA,9031
2010/06,CUNDINAMARCA,18830
2010/06,CÓRDOBA,1377
2010/06,HUILA,4809
2010/06,LA GUAJIRA,1015
2010/06,NORTE DE SANTANDER,10062
2010/06,RISARALDA,1491
2010/06,SANTANDER,1527
2010/06,TOLIMA,2433
2010/06,VALLE DEL CAUCA,21295
2010/07,ANTIOQUIA,35180
2010/07,ARAUCA,3374
2010/07,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3418
2010/07,ATLÁNTICO,7434
2010/07,BOLÍVAR,2868
2010/07,CALDAS,4562
2010/07,CAQUETA,1388
2010/07,CAUCA,9043
2010/07,CUNDINAMARCA,19060
2010/07,CÓRDOBA,1339
2010/07,HUILA,4887
2010/07,LA GUAJIRA,1249
2010/07,NORTE DE SANTANDER,10124
2010/07,RISARALDA,1506
2010/07,SANTANDER,1581
2010/07,TOLIMA,2933
2010/07,VALLE DEL CAUCA,21049
2010/08,ANTIOQUIA,33154
2010/08,ARAUCA,3375
2010/08,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3490
2010/08,ATLÁNTICO,7434
2010/08,BOLÍVAR,2889
2010/08,CALDAS,4284
2010/08,CAQUETA,1444
2010/08,CAUCA,9197
2010/08,CUNDINAMARCA,19182
2010/08,CÓRDOBA,1347
2010/08,HUILA,4653
2010/08,LA GUAJIRA,1244
2010/08,NORTE DE SANTANDER,10198
2010/08,RISARALDA,1527
2010/08,SANTANDER,1472
2010/08,TOLIMA,2822
2010/08,VALLE DEL CAUCA,21158
2010/09,ANTIOQUIA,34954
2010/09,ARAUCA,2503
2010/09,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3354
2010/09,ATLÁNTICO,7415
2010/09,BOLÍVAR,2896
2010/09,CALDAS,6139
2010/09,CAQUETA,1074
2010/09,CAUCA,9337
2010/09,CUNDINAMARCA,19380
2010/09,CÓRDOBA,1328
2010/09,HUILA,4865
2010/09,LA GUAJIRA,1235
2010/09,NORTE DE SANTANDER,10169
2010/09,RISARALDA,1449
2010/09,SANTANDER,1361
2010/09,TOLIMA,2843
2010/09,VALLE DEL CAUCA,20560
