,AMAZONAS,ANTIOQUIA,ARAUCA,ATLÁNTICO,BOLÍVAR,BOYACÁ,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCÓ,CÓRDOBA,CUNDINAMARCA,BOGOTÁ D.C.,GUAINÍA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,PUTUMAYO,QUINDÍO,RISARALDA,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPÉS,VICHADA
2010/01,0,38901,3391,7429,3056,0,4252,1420,0,8969,0,892,1400,18928,0,0,0,4681,1290,0,0,0,10132,0,0,1403,3252,1553,0,1476,20495,0,0
2010/02,0,38508,3393,7430,3021,0,4404,1420,0,9073,0,781,1365,18748,0,0,0,4726,1301,0,0,0,10157,0,0,1496,3295,1531,0,5587,20049,0,0
2010/03,0,38194,2587,7436,3001,0,4382,1394,0,9087,0,0,1362,18653,0,0,0,4846,1232,0,0,0,8123,0,0,1463,3528,1633,0,5608,20442,0,0
2010/04,0,37961,3436,7432,2951,0,4421,1383,0,8964,0,0,1338,18597,0,0,0,4769,1234,0,0,0,9359,0,0,1212,3495,1473,0,4841,20040,0,0
2010/05,0,35256,3440,7437,2927,0,4294,1370,0,8995,0,0,1303,18705,0,0,0,4705,1238,0,0,0,10118,0,0,1531,3458,1433,0,4785,20119,0,0
2010/06,0,35110,3403,7453,2914,0,4462,1355,0,9031,0,0,1377,18830,0,0,0,4809,1015,0,0,0,10062,0,0,1491,3430,1527,0,2433,21295,0,0
2010/07,0,35180,3374,7434,2868,0,4562,1388,0,9043,0,0,1339,19060,0,0,0,4887,1249,0,0,0,10124,0,0,1506,3418,1581,0,2933,21049,0,0
2010/08,0,33154,3375,7434,2889,0,4284,1444,0,9197,0,0,1347,19182,0,0,0,4653,1244,0,0,0,10198,0,0,1527,3490,1472,0,2822,21158,0,0
2010/09,0,34954,2503,7415,2896,0,6139,1074,0,9337,0,0,1328,19380,0,0,0,4865,1235,0,0,0,10169,0,0,1449,3354,1361,0,2843,20560,0,0
2010/10,0,32077,2487,7102,2857,0,4570,1449,0,9286,0,0,1301,19603,0,0,0,4858,1210,0,0,0,10113,0,0,1503,3409,1485,0,2805,21030,0,0
2010/11,0,31227,3385,7078,2817,0,4213,1466,0,9293,0,0,1319,19709,0,0,0,4913,1213,0,0,0,10107,0,0,1527,3436,1615,0,2782,20666,0,0
2010/12,0,29921,3463,7049,2766,0,4707,1433,0,9364,0,0,4093,19829,0,0,0,4927,1183,0,0,0,10126,0,0,1530,3525,1494,0,2785,21463,0,0
2011/01,0,29006,2714,7037,2771,0,4312,1491,0,9311,0,0,1339,19755,0,0,0,4961,1191,0,0,0,9504,0,0,1455,3553,1509,0,2923,21247,0,0
2011/02,0,29216,2875,7036,2822,0,4478,1553,0,9405,0,0,1371,20250,0,0,0,5009,1178,0,0,0,9480,0,0,1576,3564,1456,0,2854,20451,0,0
2011/03,0,29097,3925,6956,2882,0,5382,1589,0,9468,0,0,1371,20699,0,0,0,5106,1188,0,0,0,9446,0,0,1498,3635,1525,0,2828,21147,0,0
2011/04,0,28603,3005,6972,2951,0,4315,1672,0,9473,0,0,1395,24355,0,0,0,4554,1163,0,0,0,10256,0,0,1518,3758,1493,0,2860,20569,0,0
2011/05,0,26569,3962,6904,3078,0,4561,1704,0,9253,0,0,1426,25706,0,0,0,5109,1200,0,0,0,10265,0,0,1547,3702,1433,0,2559,20632,0,0
2011/06,0,27037,4022,6912,3149,0,4465,1696,0,9487,0,0,1468,24869,0,0,0,5067,1201,0,0,0,10190,0,0,1444,3426,1375,0,2550,21088,0,0
2011/07,0,26702,3088,6903,3278,0,4554,1695,0,9528,0,0,1455,24058,0,0,0,5102,1283,0,0,0,10285,0,0,1502,3437,1376,0,2595,19263,0,0
2011/08,0,26817,3993,6918,3435,0,4339,1706,0,9532,0,0,1456,24114,0,0,0,4535,1297,0,0,0,10284,0,0,1564,3715,1458,0,2705,19511,0,0
2011/09,0,26505,3962,6932,3534,0,4549,1703,0,9561,0,0,1448,24189,0,0,0,4670,1281,0,0,0,12544,0,0,1480,3737,1554,0,2712,18608,0,0
2011/10,0,27749,3939,6921,3565,0,4615,1693,0,9592,0,0,1443,24267,0,0,0,5065,1341,0,0,0,13331,0,0,1525,3491,1439,0,2661,19559,0,0
2011/11,0,26548,3930,7067,3650,0,4269,1665,0,9588,0,0,1441,26047,0,0,0,5133,1414,0,0,0,15236,0,0,1606,3484,1610,0,2687,18655,0,0
2011/12,0,26756,3913,6919,3657,0,4620,1632,0,9653,0,0,1465,26573,0,0,0,5140,1424,0,0,0,16869,0,0,1646,3721,1581,0,2669,17362,0,0
2012/01,0,26076,3899,6920,3715,0,6899,1619,0,9228,0,0,1444,26794,0,0,0,5118,1475,0,0,0,16647,0,0,1513,4444,1509,0,2649,18354,0,0
2012/02,0,26286,3859,6922,3687,0,7111,1580,0,9597,0,0,1464,25742,0,0,0,5190,1457,0,0,0,16194,0,0,1577,4463,1583,0,2589,18009,0,0
2012/03,0,25833,3850,6933,3584,0,6322,1520,0,9553,0,0,1509,26058,0,0,0,5171,1538,0,0,0,16372,0,0,1660,4353,1704,0,2433,18029,0,0
2012/04,0,26606,4031,6941,3511,0,5412,1614,0,9498,0,0,1533,26294,0,0,0,5112,1497,0,0,0,16416,0,0,1626,4332,1713,0,2253,18458,0,0
