,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03
NORTE DE SANTANDER,110911,111684,112256,111690,111720,109701,110653,110875,110680,110790,110800,110278,110773,111035,111575,111820,112048,113613,113080,112634,112362,112327,112467,111981,113094,112325,112971,111935,111746,113029,112904,112266,112244,112725,112763,112255,111686,111562,111866,111191,111297,111437,111759,111817,112922,113127,113238,113108,113158,113167,113082,114382,114115,113852,114452,115627,114854,114919,114134,113683,113904,114632,116281,119160,119296,120429,120235,119384,119461,119260,121221,121597,122011,123009,126068,127714,129935,130826,115540,129145,129640,128742,130158,131425,131260,130577,131072,119964,137633,150968,157993,157031,147777,140506,137521,139998,129755,130361,133014,133864,133909,134655,134288,133808,132810,134082,134934,135097,136474,136276,138375
BOGOTÁ D.C.,1049966,1061229,1072138,1080147,1085052,1090299,1092778,1099916,1104679,1114601,1121947,1123151,1131373,1137675,1148563,1154676,1161665,1176626,1176128,1181583,1179847,1182849,1187538,1189126,1199766,1204061,1213846,1206187,1213156,1219586,1224904,1228037,1232768,1241472,1247899,1248131,1250408,1257909,1261691,1277808,1283540,1297271,1296548,1304278,1330593,1334433,1339146,1341304,1348072,1364589,1373629,1377344,1388613,1403297,1421541,1418875,1418918,1420682,1418926,1422817,1422514,1422425,1435992,1467311,1476385,1527865,1533791,1509623,1527338,1515236,1507268,1497587,1496064,1491047,1454427,1446056,1447322,1454581,1457286,1456404,1462652,1457690,1449768,1467696,1237506,1432287,1439442,1433626,1425360,1435448,1446635,1449421,1449532,1450594,1448882,1444403,1449839,1454139,1447736,1469378,1468721,1469985,1469466,1473209,1478320,1481536,1477185,1478310,1493192,1497732,1498924
CUNDINAMARCA,219774,223700,230515,231284,233609,237466,240258,243816,246101,248345,250902,255883,256510,259787,265297,269427,274041,280158,277932,280165,280387,281656,283606,287271,288719,288078,291888,290002,292028,296717,296140,296865,297773,301607,302382,306516,303676,303851,307137,307369,310171,313804,314847,315638,321678,324260,326709,333493,331266,330847,332924,339553,340627,342932,342867,344836,344827,344272,342540,348181,344058,343360,355433,367011,365246,372697,373024,368861,369079,368188,370832,371622,373671,370130,380000,380328,370651,384264,376721,368628,380856,367163,380582,387035,385993,382556,382045,391775,378128,383712,381621,395762,401046,406819,403720,410434,398500,400883,413575,409286,409294,411432,412539,415116,416451,419001,419358,425780,428283,430410,431253
ANTIOQUIA,806450,815748,825204,830113,833901,836435,834881,839403,840244,841215,841795,839795,848176,848511,856034,853923,855534,866355,864637,868294,869617,871721,875692,875872,880396,883780,885000,886538,891004,894088,902218,900484,901957,912255,916765,923268,923601,925226,929729,932813,938070,946102,964803,967384,976758,982737,988072,992531,994138,990411,994760,995445,996316,993496,994479,1001696,998725,998247,993124,995039,991025,990229,997872,1019519,1017742,1024381,1025282,1020661,1023905,1020484,1029504,1028944,1033074,1029358,1039828,1046087,1044064,1054272,993485,991984,1013860,1011664,1025999,1039695,1115691,1108817,1117097,670265,1115817,1128950,1120590,1084199,1142381,1150628,1154706,1159011,1105181,1109128,1143866,1129712,1132469,1138322,1138361,1143362,1149543,1153050,1166364,1169186,1194335,1201393,1208123
RISARALDA,125956,127012,128698,130923,132660,131123,130378,131308,131770,132686,132928,133036,133276,133513,134721,134859,125994,134906,133151,133619,134272,132785,132487,131487,131862,128795,130417,128979,129232,129648,129862,130033,129817,130453,131008,131107,131035,131003,131302,131867,131987,132556,134793,134749,136064,136074,136628,136220,135158,134159,133853,134303,134996,137155,138867,140153,140556,140750,140651,141493,141800,141977,142898,144840,145272,146200,146810,145726,146340,145977,146624,146558,147062,146948,141401,147602,147911,148264,148490,147207,149122,148572,149387,150624,150782,150243,150916,82291,148960,150348,153418,154212,153587,155656,148304,154000,155364,156291,158209,159488,159419,159613,161474,161037,162037,162839,163917,166130,165410,166463,166599
CÓRDOBA,65304,66809,68481,69861,70760,71241,72962,74830,76156,77665,78444,79738,81169,81575,83962,83672,84489,87862,85841,86452,86019,85716,85110,85199,85406,83201,83966,82873,83206,86137,87107,87894,88515,91409,91538,93283,92623,92758,96063,95443,95776,97759,97929,97853,99149,99463,100623,100888,100943,101275,99999,99452,102603,100303,100163,101334,98549,99481,97745,96207,95951,94537,96877,103872,103310,104297,104142,102184,102976,102457,103647,102879,103087,102270,106017,103682,100821,104284,93043,94251,98193,96707,97692,98494,135373,102095,102902,110888,101642,100854,95816,97572,100400,101117,101829,101365,95412,95784,97928,97768,97823,97473,97192,99439,98906,98786,100708,100645,101967,103019,102902
HUILA,64525,65272,65871,66616,66863,66624,67673,68155,68457,68994,71449,71726,71887,71810,73605,73863,74617,76626,75842,75953,76050,75866,75861,75708,76079,76061,76566,75845,75469,76160,75501,75519,75523,75992,76654,76318,75491,74880,75293,75108,75381,76088,76248,76409,77518,78459,79059,79227,79331,79127,79338,80045,80295,80318,80523,81685,81238,81702,81362,81161,81065,80426,81451,83737,83819,85192,85260,84292,84468,83844,84470,83906,83569,82649,82509,83018,83067,83639,81787,81309,81495,80879,81173,80954,108266,81842,81621,83092,81494,82165,82872,82896,82550,82644,83020,82770,78463,78530,78736,80232,80139,80198,81310,81598,81321,80636,81178,81627,83308,83462,84258
ATLÁNTICO,197265,200398,206841,210046,208976,212023,213014,216259,215688,217051,219323,217051,219225,221210,226230,223464,224632,258671,227851,230145,229700,232188,232388,233391,237796,235986,236854,239105,240688,242534,245647,245560,245961,248483,248129,246976,246364,247559,252091,252126,250838,252282,254097,255119,256590,258108,258764,257197,257275,256367,254018,258073,258766,259945,265237,265767,265223,265414,266341,260920,261370,263217,268815,281965,281660,284924,284445,281883,284550,288263,294536,295051,287231,287682,296938,301730,303933,306825,300018,304120,307116,305080,307238,308951,253236,302123,307565,283267,307822,312933,311974,315105,313886,315409,315915,314337,299140,299823,304017,306133,306335,305628,307346,307981,307588,309433,311092,310218,314300,316925,320475
BOLÍVAR,127865,129469,131254,132712,134179,134606,137166,139703,141461,142661,142992,143862,145849,145792,149424,149186,149869,152991,151781,152491,151933,151846,150334,151054,153298,151128,151268,149666,150316,152692,152286,153117,152925,155421,154262,153393,152618,152612,154577,154551,153750,154782,156320,155153,155677,155061,155914,155213,156073,154199,153729,154589,155819,155697,157166,160109,157913,158438,155910,154079,155367,155278,158050,168204,168048,168696,168360,165673,167117,165694,169095,168494,169174,169844,178013,174868,176048,177902,170669,173582,179678,181382,185555,189179,163983,191355,195832,257108,192770,196444,195021,193966,193885,196467,196186,195947,179375,180963,184282,186483,187285,187997,187991,190053,191318,190546,193943,194263,197513,198275,198921
BOYACÁ,90728,91381,93305,93510,93691,94341,94685,95184,95586,96185,96640,98244,97645,97877,99306,100366,100903,103283,101717,102095,101582,100891,100752,101544,101062,100343,101819,100571,101237,103496,103027,103230,103614,105056,105119,106052,104722,104278,106235,106018,107061,108314,108277,108566,109874,110425,111207,113157,112197,111843,111452,112615,112922,113448,113020,114489,113483,113152,111645,113273,111012,110199,113726,116862,115788,117475,116765,114759,115473,113460,114380,113798,113981,112179,113954,113521,110793,114010,111604,109916,111797,110105,110130,111697,121682,109293,109383,151024,107525,108070,109081,109227,108799,108248,104018,107423,102982,103237,105181,104665,104263,104724,106025,105933,106215,105818,105952,106971,105944,105901,105519
