datetime,id_departamento,departamento,operador,suscriptores
2013/01,91,AMAZONAS,TELMEX COLOMBIA S.A.,2475
2013/01,91,AMAZONAS,DIRECTV COLOMBIA LTDA,1381
2013/01,91,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,292
2013/01,5,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,528197
2013/01,5,ANTIOQUIA,TELMEX COLOMBIA S.A.,162782
2013/01,5,ANTIOQUIA,DIRECTV COLOMBIA LTDA,73514
2013/01,5,ANTIOQUIA,CABLE BELLO TELEVISION S.A.S.,21747
2013/01,5,ANTIOQUIA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),13397
2013/01,5,ANTIOQUIA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,3981
2013/01,5,ANTIOQUIA,CABLE VISION EL PALMAR LTDA,1373
2013/01,5,ANTIOQUIA,MGN CABLEVISION LTDA.,1094
2013/01,5,ANTIOQUIA,LEGON TELECOMUNICACIONES S.A.S.,365
2013/01,81,ARAUCA,DIRECTV COLOMBIA LTDA,3388
2013/01,81,ARAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,2263
2013/01,81,ARAUCA,T V SATELITE ARAUCA LTDA,1779
2013/01,81,ARAUCA,CABLETAME S A S,1133
2013/01,81,ARAUCA,SATELVISION LTDA,1128
2013/01,81,ARAUCA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),498
2013/01,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",TV ISLA LTDA,3618
2013/01,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1950
2013/01,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",DIRECTV COLOMBIA LTDA,493
2013/01,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COME SEE NEW BALL JAY y CIA. LTDA.,383
2013/01,8,ATLÁNTICO,TELMEX COLOMBIA S.A.,69950
2013/01,8,ATLÁNTICO,DIRECTV COLOMBIA LTDA,51478
2013/01,8,ATLÁNTICO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47893
2013/01,8,ATLÁNTICO,UNE EPM TELECOMUNICACIONES S.A.,12103
2013/01,8,ATLÁNTICO,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),10489
2013/01,8,ATLÁNTICO,CABLE EXPRESS DE COLOMBIA LTDA.,5072
2013/01,8,ATLÁNTICO,TEVECOM SAS,280
2013/01,11,BOGOTÁ D.C.,TELMEX COLOMBIA S.A.,744159
2013/01,11,BOGOTÁ D.C.,DIRECTV COLOMBIA LTDA,189773
2013/01,11,BOGOTÁ D.C.,UNE EPM TELECOMUNICACIONES S.A.,50753
2013/01,11,BOGOTÁ D.C.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,29164
2013/01,11,BOGOTÁ D.C.,SUPERCABLE TELECOMUNICACIONES S.A.,17786
2013/01,11,BOGOTÁ D.C.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),10667
2013/01,11,BOGOTÁ D.C.,H V TELEVISION S.A.S.,7664
2013/01,13,BOLÍVAR,UNE EPM TELECOMUNICACIONES S.A.,62738
2013/01,13,BOLÍVAR,DIRECTV COLOMBIA LTDA,21770
2013/01,13,BOLÍVAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,17673
2013/01,13,BOLÍVAR,TELMEX COLOMBIA S.A.,12371
2013/01,13,BOLÍVAR,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),9688
2013/01,13,BOLÍVAR,CABLEMAG TELECOMUNICACIONES LTDA,3625
2013/01,15,BOYACÁ,TELMEX COLOMBIA S.A.,56960
2013/01,15,BOYACÁ,DIRECTV COLOMBIA LTDA,18748
2013/01,15,BOYACÁ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,8237
2013/01,15,BOYACÁ,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),6783
2013/01,17,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,54292
2013/01,17,CALDAS,TELMEX COLOMBIA S.A.,17810
2013/01,17,CALDAS,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),14347
2013/01,17,CALDAS,DIRECTV COLOMBIA LTDA,8423
2013/01,17,CALDAS,SOCIEDAD ALFA TV DORADA Y CIA SA,7537
2013/01,17,CALDAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,2058
2013/01,18,CAQUETA,TELMEX COLOMBIA S.A.,12916
2013/01,18,CAQUETA,DIRECTV COLOMBIA LTDA,3226
2013/01,18,CAQUETA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1494
2013/01,18,CAQUETA,TV PAU EMPRESA UNIPERSONAL E. U.,704
2013/01,18,CAQUETA,CABLE DONCELLO EMPRESA UNIPERSONAL E.U.,583
2013/01,18,CAQUETA,TV SANV SAS,532
2013/01,85,CASANARE,TELMEX COLOMBIA S.A.,12277
2013/01,85,CASANARE,DIRECTV COLOMBIA LTDA,8659
2013/01,85,CASANARE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,2728
2013/01,85,CASANARE,CABLETAME S A S,997
2013/01,19,CAUCA,TELMEX COLOMBIA S.A.,22126
2013/01,19,CAUCA,CABLE CAUCA S.A,10070
2013/01,19,CAUCA,DIRECTV COLOMBIA LTDA,9001
2013/01,19,CAUCA,UNE EPM TELECOMUNICACIONES S.A.,7700
2013/01,19,CAUCA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),2721
2013/01,19,CAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1987
2013/01,20,CESAR,TELMEX COLOMBIA S.A.,25299
2013/01,20,CESAR,DIRECTV COLOMBIA LTDA,14677
2013/01,20,CESAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,9959
2013/01,20,CESAR,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),5955
2013/01,20,CESAR,UNE EPM TELECOMUNICACIONES S.A.,1614
2013/01,27,CHOCÓ,DIRECTV COLOMBIA LTDA,10502
2013/01,27,CHOCÓ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,4081
2013/01,27,CHOCÓ,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),1324
2013/01,25,CUNDINAMARCA,TELMEX COLOMBIA S.A.,117720
2013/01,25,CUNDINAMARCA,DIRECTV COLOMBIA LTDA,56140
2013/01,25,CUNDINAMARCA,H V TELEVISION S.A.S.,27790
2013/01,25,CUNDINAMARCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15029
2013/01,25,CUNDINAMARCA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),2431
2013/01,25,CUNDINAMARCA,UNE EPM TELECOMUNICACIONES S.A.,664
2013/01,23,CÓRDOBA,TELMEX COLOMBIA S.A.,19969
2013/01,23,CÓRDOBA,DIRECTV COLOMBIA LTDA,18967
2013/01,23,CÓRDOBA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),11208
2013/01,23,CÓRDOBA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,8204
2013/01,23,CÓRDOBA,UNE EPM TELECOMUNICACIONES S.A.,5264
2013/01,23,CÓRDOBA,INVERSIONES CABLE MUNDO LTDA.(INTER TV LTDA),1692
2013/01,94,GUAINÍA,DIRECTV COLOMBIA LTDA,527
2013/01,94,GUAINÍA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,36
2013/01,95,GUAVIARE,DIRECTV COLOMBIA LTDA,1190
2013/01,95,GUAVIARE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,307
2013/01,41,HUILA,TELMEX COLOMBIA S.A.,35034
2013/01,41,HUILA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,11444
2013/01,41,HUILA,DIRECTV COLOMBIA LTDA,10663
2013/01,41,HUILA,ALFASURT TV CABLE SAS.,2530
2013/01,41,HUILA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),2133
2013/01,41,HUILA,CABLE VISION JASTADI LTDA,1065
2013/01,41,HUILA,T.V. SUR LTDA,655
