,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2012/01,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,2596
0,2012/01,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,EDATEL S.A.,TELMEX-COMCEL S.A.,0.8621905330591382,0.08789002679322885,0.04887254813644214,0.001046892011190792,1554124
0,2012/01,ARAUCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,13614
0,2012/01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,9677
0,2012/01,ATLÁNTICO,METROPOLITANA DE TELECOMUNICACIONES S.A. E.S.P. (SE FUSIONA CON METROTEL S.A.),COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,0.4791342977388261,0.3504178420044349,0.1489033532952197,0.021544506961519216,265172
0,2012/01,BOGOTÁ D.C.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,TELMEX-COMCEL S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.7005373906927832,0.15557873036136588,0.07432932408266933,0.06955455486318163,2400116
0,2012/01,BOLÍVAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,UNE EPM TELECOMUNICACIONES S.A.,TELMEX-COMCEL S.A.,0.7995432851860046,0.13301621416606088,0.06744050064793451,0.0,126556
0,2012/01,BOYACÁ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,No hay,0.9724020324354423,0.027597967564557666,0,0,57468
0,2012/01,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,0.7676506859873593,0.14589949129027285,0.08644982272236781,0.0,129740
0,2012/01,CAQUETÁ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,12753
0,2012/01,CASANARE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.,TELMEX-COMCEL S.A.,0.7733701730149333,0.2263009012564963,0.0003289257285704888,0.0,15201
0,2012/01,CAUCA,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,CAUCATEL S.A E. S. P,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.4397718778549874,0.23568007530245563,0.2115251515738767,0.11302289526868026,72242
0,2012/01,CESAR,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EDATEL S.A.,TELMEX-COMCEL S.A.,0.7421219395103217,0.17422947671627462,0.08364858377340374,0.0,52075
0,2012/01,CHOCÓ,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,15521
0,2012/01,CUNDINAMARCA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,TELMEX-COMCEL S.A.,0.4109202165215345,0.3550536481100664,0.12125514585881346,0.11277098950958564,259189
0,2012/01,CÓRDOBA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EDATEL S.A.,TELMEX-COMCEL S.A.,0.5365228185946228,0.41676194831923163,0.0467152330861455,0.0,61222
0,2012/01,GUAINÍA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,428
0,2012/01,GUAVIARE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,1128
0,2012/01,HUILA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,UNE EPM TELECOMUNICACIONES S.A.,0.8715207813940781,0.1284450667668454,3.415183907653427e-05,0.0,87843
0,2012/01,LA GUAJIRA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,No hay,0.9980496622585863,0.0019503377414137571,0,0,21022
0,2012/01,MAGDALENA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,0.874952758105066,0.1149908802602823,0.010056361634651725,0.0,60857
0,2012/01,META,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,TELMEX-COMCEL S.A.,0.566851689551076,0.3520442942002977,0.08110401624862625,0.0,71883
0,2012/01,NARIÑO,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,0.9633487281209274,0.03156483766490672,0.005086434214165865,0.0,1478639
0,2012/01,NORTE DE SANTANDER,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,UNE EPM TELECOMUNICACIONES S.A.,0.8556026381437309,0.1190411099340464,0.025356251922222604,1.1102230246251565e-16,117052
0,2012/01,PUTUMAYO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,8097
0,2012/01,QUINDÍO,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,UNE EPM TELECOMUNICACIONES S.A.,0.7514004494097541,0.13670601639396146,0.11189353419628446,-2.220446049250313e-16,63194
0,2012/01,RISARALDA,EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A.,TELMEX-COMCEL S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.8112964929223513,0.12238756596112495,0.06631594111652377,0.0,187421
0,2012/01,SANTANDER,EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,0.596170628103345,0.22447769544422114,0.08753067237494641,0.0918210040774875,328879
0,2012/01,SUCRE,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EDATEL S.A.,TELMEX-COMCEL S.A.,0.6488765618871519,0.2945873256009413,0.056536112511906766,0.0,35694
0,2012/01,TOLIMA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,EMPRESA DE TELECOMUNICACIONES DE GIRARDOT S.A.  E.S.P.,0.8631213209347055,0.10276177107004088,0.03411690799525357,0.0,128939
0,2012/01,VALLE DEL CAUCA,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,TELMEX-COMCEL S.A.,0.49851161531540444,0.13579732943862247,0.12268566703179581,0.24300538821417728,879141
0,2012/01,VAUPÉS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,177
0,2012/01,VICHADA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,486
0,2012/02,AMAZONAS,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,No hay,1.0,0,0,0,2529
