,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2013/01,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,0.6549655899311798,0.2018500837001674,0.09115754231508463,0.05202678405356809,806450
0,2013/01,ARAUCA,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,T V SATELITE ARAUCA LTDA,0.3325154578466974,0.22210226715084896,0.17460005888703503,0.27078221611541864,10189
0,2013/01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",TV ISLA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,0.5614525139664804,0.3026070763500931,0.07650527622594662,0.05943513345747986,6444
0,2013/01,ATLÁNTICO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3545991432844144,0.260958608977771,0.24278508605175778,0.1416571616860569,197265
0,2013/01,BOLÍVAR,UNE EPM TELECOMUNICACIONES S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.49065811598169945,0.17025769366128338,0.13821608727955265,0.2008681030774646,127865
0,2013/01,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.519704787157667,0.17048445920721375,0.13733523505030296,0.17247551858481625,104467
0,2013/01,CAQUETA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6638910305833976,0.16581855564122333,0.07679259830377795,0.09349781547160119,19455
0,2013/01,CAUCA,TELMEX COLOMBIA S.A.,CABLE CAUCA S.A,DIRECTV COLOMBIA LTDA,0.41276000373099525,0.18785561048409663,0.16791344091036284,0.23147094487454523,53605
0,2013/01,CHOCÓ,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.6602124850694663,0.25655371848871567,0.08323379644181807,0.0,15907
0,2013/01,CUNDINAMARCA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,H V TELEVISION S.A.S.,0.5356411586447897,0.25544422907168274,0.126448078480621,0.08246653380290658,219774
0,2013/01,CÓRDOBA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.3057852505206419,0.2904416268528727,0.17162807791253215,0.23214504471395325,65304
0,2013/01,HUILA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,0.5429523440526928,0.17735761332816738,0.16525377760557924,0.11443626501356063,64525
0,2013/01,LA GUAJIRA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.36011815058171076,0.26806920248357347,0.17602025438543614,0.19579239254927971,33178
0,2013/01,NORTE DE SANTANDER,TELMEX COLOMBIA S.A.,INGELCOM Ingeniería Electrónica y de Telecomunicaciones S.A.S.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.5757859905690148,0.10909648276546059,0.10141464778065296,0.2137028788848716,110911
0,2013/01,RISARALDA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.5884594620343612,0.21802057861475435,0.10268665248181905,0.09083330686906543,125956
0,2013/01,SANTANDER,TELMEX COLOMBIA S.A.,UNE EPM TELECOMUNICACIONES S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3634195187847757,0.3547049321254145,0.14490775291194724,0.1369677961778626,211714
